Date,Year_Month,SKU,Product_Name,Brand,Category,Months_From_Start,Months_Since_Launch,Lifecycle_Stage,Stores_Carrying,Total_Eligible_Stores,TDP_Percentage,Weighted_TDP,Weighted_TDP_Percentage,Northeast_TDP,Southeast_TDP,Midwest_TDP,West_TDP,Southwest_TDP,Grocery_TDP,Convenience_TDP,BigBox_TDP,Liquor_TDP,GasStation_TDP,Distribution_Velocity,Market_Penetration_Rate
2023-01-01,2023-01,BEER-1009,Miller Lite,Miller,Beer,0.00,0.00,Launch,203,1165,17.42,733.78,21.66,11.60,12.95,17.83,15.91,14.29,17.56,11.70,12.06,17.05,10.26,8.50,85.66
2023-01-01,2023-01,BEER-1038,Modelo Chelada,Modelo,Beer,0.00,0.00,Launch,195,1165,16.74,698.88,20.63,11.95,13.99,16.43,11.74,17.58,15.37,13.65,11.06,17.97,6.84,8.50,82.36
2023-02-01,2023-02,BEER-1009,Miller Lite,Miller,Beer,1.02,1.02,Launch,383,1165,32.88,1368.35,40.39,25.26,28.50,33.15,20.45,28.57,35.13,17.83,23.62,37.33,12.82,8.50,77.26
2023-02-01,2023-02,BEER-1032,Guinness Draught,Guinness,Beer,1.02,0.39,Launch,204,1165,17.51,757.18,22.35,13.31,15.28,17.55,13.26,8.79,17.96,11.70,13.57,17.05,6.84,8.50,89.25
2023-02-01,2023-02,BEER-1036,Modelo Especial,Modelo,Beer,1.02,0.59,Launch,177,1165,15.19,692.19,20.43,9.90,12.44,15.60,10.61,17.58,15.37,7.80,12.56,14.29,13.68,8.50,77.70
2023-02-01,2023-02,BEER-1038,Modelo Chelada,Modelo,Beer,1.02,1.02,Launch,390,1165,33.48,1419.94,41.91,27.65,28.24,32.59,20.83,30.77,33.53,22.56,21.11,36.87,16.24,8.50,77.76
2023-02-01,2023-02,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,1.02,0.66,Launch,221,1165,18.97,782.96,23.11,16.04,16.58,17.55,12.12,16.48,18.96,12.81,14.57,18.89,8.55,8.50,86.23
2023-02-01,2023-02,BEER-1048,New Belgium Fat Tire,New Belgium,Beer,1.02,0.79,Launch,200,1165,17.17,744.54,21.98,15.70,15.80,15.04,10.23,13.19,18.96,10.31,12.06,15.21,9.40,8.50,93.98
2023-02-01,2023-02,BEER-1057,Lagunitas Little Sumpin',Lagunitas,Beer,1.02,0.13,Launch,188,1165,16.14,693.32,20.46,12.63,16.06,13.65,9.85,15.38,16.57,10.03,7.54,19.82,9.40,8.50,83.17
2023-03-01,2023-03,BEER-1005,Coors Light,Coors,Beer,1.94,0.07,Launch,207,1165,17.77,744.92,21.99,15.02,18.13,16.16,8.33,14.29,18.36,11.42,10.55,20.74,6.84,8.50,88.86
