Product_Category,Product_ABV,ABV_Revenue,ABV_Units,ABV_Transactions,ABV_Brand_Count,Avg_ABV_Transaction,ABV_Rank_in_Category,ABV_Revenue_Share_in_Category
BEER,5.0,971320.9299999999,883343,65342,6,14.865185179517002,1,8.528500056958755
BEER,4.6,943632.49,875697,65042,4,14.508048491743796,2,8.285386936646297
BEER,4.3,802172.1,739586,54579,5,14.697449568515363,3,7.043320687572052
BEER,5.4,754634.71,733671,54285,4,13.901348623008197,4,6.625927608929475
BEER,5.2,741876.6500000001,726342,53912,5,13.760881621902362,5,6.513907871604674
BEER,5.5,623271.1900000001,578603,42998,3,14.495353039676266,6,5.472515020772539
BEER,4.7,618165.4799999999,597508,43360,4,14.25658394833948,7,5.427685297988931
BEER,3.8,464702.93,445060,32714,3,14.205017118053432,8,4.080236348838793
BEER,4.2,459401.07000000007,430501,32296,3,14.22470491701759,9,4.033684368009978
BEER,4.4,457075.0000000001,438558,32448,3,14.086384368836296,10,4.013260749497515
BEER,0.0,453514.88999999996,439730,32465,3,13.96934822116125,11,3.98200187573086
BEER,4.8,440886.6799999999,435214,32535,3,13.551150453357918,12,3.8711222618175807
BEER,4.5,389736.57999999996,438239,32438,3,12.014815340033293,13,3.4220084650383376
BEER,5.7,362512.18999999994,298150,21701,2,16.704861066310304,14,3.1829698481461146
BEER,6.8,327642.5,296936,21852,2,14.99370766977851,15,2.876803117906776
BEER,6.9,295903.49999999994,289168,21634,2,13.677706388092814,16,2.5981248201912983
BEER,3.3,295105.18000000005,289661,21719,2,13.587420231134033,17,2.591115322140566
BEER,3.4,287705.73999999993,295730,21655,2,13.285880397136916,18,2.526145936109253
BEER,5.6,198469.03999999992,147920,11108,1,17.86721642059776,19,1.7426199381336807
BEER,3.5,181071.90000000008,150897,10874,1,16.651820857090314,20,1.589867634648448
BEER,5.8,168489.96999999997,146452,10867,1,15.504736357780434,21,1.4793943735382895
BEER,6.4,166196.17999999993,146129,10703,1,15.527999626273001,22,1.4592541834719108
BEER,4.0,151057.29999999993,147603,10787,1,14.003643274311665,23,1.3263301055955166
BEER,6.0,149824.0,148147,10816,1,13.85207100591716,24,1.3155013477716253
BEER,7.0,149755.80000000005,148959,10789,1,13.880415237742149,25,1.3149025305466284
BEER,6.1,140639.29000000007,145017,10825,1,12.992082217090076,26,1.2348567355339903
BEER,3.9,133296.2,144548,10675,1,12.486763466042156,27,1.1703821200397544
BEER,7.2,132201.74000000005,148653,10911,1,12.116372468151411,28,1.1607724206252275
BEER,4.9,128856.70999999998,146599,10927,1,11.792505719776697,29,1.1314020161951186
HARD SELTZER,4.7,63134.48,39257,20533,8,3.0747810841085084,1,23.71912656090683
HARD SELTZER,4.8,61723.23999999999,38766,20377,8,3.0290641409432197,2,23.18893481516323
HARD SELTZER,5.0,49487.979999999996,28289,14998,6,3.299638618482464,3,18.59224406162252
HARD SELTZER,4.6,45746.76000000001,27941,14902,6,3.0698402898939747,4,17.18669719290363
HARD SELTZER,4.9,34765.13999999999,20900,11097,4,3.132841308461746,5,13.060989107182703
HARD SELTZER,4.5,11317.8,6994,3685,2,3.071316146540027,6,4.252008262221076
