Product_Category,Product_Brand,Brand_Revenue,Brand_Units,Brand_Transactions,Brand_Geographic_Reach,Brand_Store_Count,Avg_Brand_Transaction,Brand_ABV,Brand_Price,Brand_Rank_in_Category,Brand_Revenue_Share_in_Category
BEER,Stella Artois,761527.8800000001,582913,43212,5,1165,17.623064889382583,4.748882254929039,1.1753806812922092,1,6.686451786800972
BEER,Sam Adams,744746.1099999988,590312,43637,5,1165,17.066849462611977,5.173401012901999,1.142776772005404,2,6.539102623429314
BEER,Heineken,707718.1100000003,587147,43387,5,1165,16.311754903542543,3.7466637472055315,1.1300198216055175,3,6.213985259687286
BEER,Guinness,635362.7899999998,589439,43490,5,1165,14.60939963209933,4.015270177052058,0.9574488388135215,4,5.578683031883677
BEER,Coors,625351.29,586538,43386,5,1165,14.413665468123359,4.85165260683173,1.0898575577374776,5,5.490778946134962
BEER,Sierra Nevada,623992.9100000001,585104,43344,5,1165,14.396292681801405,5.601508859357772,1.080005537098548,6,5.478851946984053
BEER,Corona,614675.9800000002,583324,43239,5,1165,14.215776960614265,4.75191840699368,1.0212474849094446,7,5.397046401997311
BEER,Blue Moon,610354.49,588213,43430,5,1165,14.053752935758691,4.802514390974072,1.0670792079207736,8,5.359102374876276
BEER,Miller,603131.7900000005,581796,43537,5,1165,13.853315340974355,3.9508464065045388,1.1030128396535666,9,5.295684821049456
BEER,New Belgium,598459.0700000004,584741,43282,5,1165,13.826973568689072,5.350073933736871,1.0502513747053859,10,5.254656885219685
BEER,Lagunitas,591981.1099999999,593326,43430,5,1165,13.63069560211835,5.635604420907201,1.032363113055441,11,5.197778380368584
BEER,Yuengling,589920.4400000003,584893,43356,5,1165,13.606431405111179,4.448673770642952,1.0979225482055586,12,5.17968505645311
BEER,Budweiser,574198.59,588978,43349,5,1165,13.24594777272832,3.2191054003550876,0.9973757180096146,13,5.041642320546554
BEER,Dos Equis,572934.4399999995,583896,43126,5,1165,13.285128228910622,4.973600612159758,1.0151231275795813,14,5.030542690121615
BEER,Modelo,550535.1099999999,586834,43508,5,1165,12.653652431736688,4.373476142318558,1.0151337685023125,15,4.833869601669958
BEER,Founders,168312.69999999998,151689,11037,5,1160,15.249859563287124,4.6999999999999025,1.119999999999983,16,1.4778378877688572
BEER,Pacifico,157254.48000000004,145755,10876,5,1161,14.458852519308573,4.3999999999999995,1.2300000000000135,17,1.3807432746631125
BEER,Negra Modelo,154563.6900000001,148265,10782,5,1156,14.335345019476915,5.399999999999937,1.1900000000000321,18,1.3571173010435966
BEER,Dogfish Head,149824.0,148147,10816,5,1162,13.85207100591716,6.0,1.07000000000001,19,1.3155013477716253
BEER,Bell's,149755.80000000005,148959,10789,5,1161,13.880415237742149,7.0,1.1500000000000044,20,1.3149025305466284
BEER,Goose Island,149016.80999999994,143322,10872,5,1160,13.706476269315667,4.199999999999915,1.0499999999999787,21,1.3084139683603973
BEER,Shock Top,145594.77000000005,145905,10760,5,1162,13.531112453531604,5.199999999999896,1.0099999999999922,22,1.278367392163471
BEER,Brooklyn,145010.92999999996,144726,10815,5,1159,13.408315302820155,5.199999999999896,1.059999999999971,23,1.2732410952625535
BEER,Michelob Ultra,141524.29000000004,150394,10909,5,1159,12.973168026400224,3.8000000000000766,0.9700000000000203,24,1.2426273109610104
BEER,Deschutes,130866.04000000007,144760,10701,5,1159,12.22932810017756,5.199999999999897,0.9500000000000184,25,1.1490445589327178
BEER,Anchor,128856.70999999998,146599,10927,5,1159,11.792505719776697,4.899999999999961,1.0,26,1.1314020161951186
BEER,Tecate,123837.06999999996,143225,10738,5,1164,11.53260104302477,4.5,0.870000000000004,27,1.0873280147979567
BEER,Stone,122719.39999999992,146333,10857,5,1161,11.3032513585705,6.899999999999871,0.9500000000000189,28,1.0775145243600832
BEER,Pabst,117091.14000000003,147088,10665,5,1160,10.97900984528833,4.699999999999906,0.8899999999999886,29,1.0280966499500488
HARD SELTZER,White Claw,35814.25000000002,21158,11112,5,1162,3.22302465802736,4.8853941684664965,1.3808027357811337,1,13.45513146594314
HARD SELTZER,Truly,34898.50000000001,21036,11134,5,1157,3.1344081192742954,4.732926172085476,1.3928390515538007,2,13.111091408146661
HARD SELTZER,High Noon,33130.34,17172,9217,5,1142,3.5944819355538673,4.800271237929911,1.4805771943148491,3,12.446807631358867
HARD SELTZER,Bud Light Seltzer,26846.85,17769,9335,5,1154,2.8759346545259774,4.858875200856973,1.436021424745595,4,10.086149959763373
HARD SELTZER,Topo Chico,24427.600000000006,14005,7359,5,1138,3.319418399239028,4.699673868732147,1.3629188748471157,5,9.177256801342274
HARD SELTZER,Vizzy,24207.430000000004,14238,7436,5,1133,3.2554370629370633,4.650215169445952,1.5449300699300565,6,9.094540667544786
HARD SELTZER,Corona Hard Seltzer,24142.31000000001,14493,7520,5,1138,3.2104135638297886,4.825279255319135,1.5079867021276687,7,9.070075596768149
HARD SELTZER,Bon & Viv,21599.420000000006,14065,7434,5,1135,2.9054909873553947,4.700013451708385,1.3657801990852858,8,8.114731864777887
HARD SELTZER,Michelob Ultra,21582.95,14281,7584,5,1148,2.845853111814346,4.749498945147679,1.3364095464134982,9,8.108544215581153
HARD SELTZER,Smirnoff Seltzer,19525.75,13930,7461,5,1141,2.617041951481035,4.800562927221583,1.3027208149041758,10,7.335670388773717
