Year,Week_of_Year,Product_Category,Weekly_Revenue,Weekly_Units,Weekly_Transactions,Avg_Weekly_Transaction,Week_Start_Date,Week_End_Date,Year_Week,Total_Weekly_Revenue,Market_Share_Revenue
2023,1,BEER,135699.8200000002,132683,16324,8.31290247488362,2023-01-02,2023-01-08,2023-W01,136643.6500000002,99.30927635495686
2023,1,HARD SELTZER,943.8299999999994,539,532,1.7741165413533821,2023-01-02,2023-01-08,2023-W01,136643.6500000002,0.6907236450431454
2023,2,BEER,123978.81999999948,121447,15183,8.165633932687841,2023-01-09,2023-01-15,2023-W02,124976.83999999949,99.20143604206987
2023,2,HARD SELTZER,998.0200000000009,567,561,1.779001782531196,2023-01-09,2023-01-15,2023-W02,124976.83999999949,0.7985639579301294
2023,3,BEER,128366.91000000054,125552,15144,8.476420364500829,2023-01-16,2023-01-22,2023-W03,129338.75000000054,99.24860878893604
2023,3,HARD SELTZER,971.8399999999997,566,558,1.7416487455197127,2023-01-16,2023-01-22,2023-W03,129338.75000000054,0.7513912110639662
2023,4,BEER,128792.53,125524,15136,8.509020216701902,2023-01-23,2023-01-29,2023-W04,129909.94,99.13985796621874
2023,4,HARD SELTZER,1117.4099999999996,640,627,1.7821531100478463,2023-01-23,2023-01-29,2023-W04,129909.94,0.8601420337812484
2023,5,BEER,135843.71999999988,132650,15061,9.019568421751536,2023-01-30,2023-02-05,2023-W05,136940.4099999999,99.19914800897705
2023,5,HARD SELTZER,1096.6900000000007,637,619,1.771712439418418,2023-01-30,2023-02-05,2023-W05,136940.4099999999,0.8008519910229578
2023,6,BEER,139670.29999999958,136215,15047,9.282268890808771,2023-02-06,2023-02-12,2023-W06,140873.88999999958,99.14562592116964
2023,6,HARD SELTZER,1203.5900000000006,682,669,1.7990881913303447,2023-02-06,2023-02-12,2023-W06,140873.88999999958,0.8543740788303669
2023,7,BEER,147049.98000000042,143368,15121,9.724884597579553,2023-02-13,2023-02-19,2023-W07,148257.33000000042,99.18563891579593
2023,7,HARD SELTZER,1207.3500000000006,687,669,1.804708520179373,2023-02-13,2023-02-19,2023-W07,148257.33000000042,0.8143610842040641
2023,8,BEER,144575.69000000035,140868,15105,9.571379675604128,2023-02-20,2023-02-26,2023-W08,145909.47000000035,99.08588524103337
2023,8,HARD SELTZER,1333.7799999999995,757,724,1.8422375690607729,2023-02-20,2023-02-26,2023-W08,145909.47000000035,0.9141147589666362
2023,9,BEER,151439.98000000083,147186,15098,10.030466286925476,2023-02-27,2023-03-05,2023-W09,152840.86000000083,99.08343881341678
2023,9,HARD SELTZER,1400.8799999999994,804,761,1.8408409986859389,2023-02-27,2023-03-05,2023-W09,152840.86000000083,0.9165611865832158
2023,10,BEER,158732.4100000002,154743,15049,10.547704830885786,2023-03-06,2023-03-12,2023-W10,160287.58000000022,99.0297626303922
2023,10,HARD SELTZER,1555.1700000000014,891,834,1.864712230215829,2023-03-06,2023-03-12,2023-W10,160287.58000000022,0.9702373696078008
2023,11,BEER,160316.3200000009,155991,15093,10.621898893526861,2023-03-13,2023-03-19,2023-W11,161938.9300000009,98.99801116383814
2023,11,HARD SELTZER,1622.609999999998,937,868,1.8693663594470025,2023-03-13,2023-03-19,2023-W11,161938.9300000009,1.0019888361618723
2023,12,BEER,167355.4399999999,162876,15161,11.038548908383344,2023-03-20,2023-03-26,2023-W12,168998.08999999988,99.02800676623032
2023,12,HARD SELTZER,1642.650000000001,926,866,1.8968244803695162,2023-03-20,2023-03-26,2023-W12,168998.08999999988,0.9719932337696847
2023,13,BEER,169553.8800000005,165324,15129,11.207209994051192,2023-03-27,2023-04-02,2023-W13,171395.2400000005,98.9256644466906
2023,13,HARD SELTZER,1841.3599999999992,1055,946,1.9464693446088788,2023-03-27,2023-04-02,2023-W13,171395.2400000005,1.0743355533094117
2023,14,BEER,175664.23999999987,170098,15168,11.581239451476785,2023-04-03,2023-04-09,2023-W14,177513.07999999987,98.95847674999499
2023,14,HARD SELTZER,1848.839999999999,1082,950,1.9461473684210515,2023-04-03,2023-04-09,2023-W14,177513.07999999987,1.0415232500050138
2023,15,BEER,185898.32000000027,180584,15213,12.2197015710248,2023-04-10,2023-04-16,2023-W15,187799.85000000027,98.98746990479492
2023,15,HARD SELTZER,1901.5300000000004,1094,924,2.057932900432901,2023-04-10,2023-04-16,2023-W15,187799.85000000027,1.0125300952050802
2023,16,BEER,192469.83999999976,186155,15238,12.630912193201192,2023-04-17,2023-04-23,2023-W16,194468.47999999978,98.97225504102258
2023,16,HARD SELTZER,1998.6400000000017,1140,967,2.0668459152016565,2023-04-17,2023-04-23,2023-W16,194468.47999999978,1.0277449589774157
2023,17,BEER,200433.02000000037,194225,15354,13.054124006773502,2023-04-24,2023-04-30,2023-W17,202634.65000000037,98.91349776555984
2023,17,HARD SELTZER,2201.629999999999,1269,1034,2.1292359767891673,2023-04-24,2023-04-30,2023-W17,202634.65000000037,1.0865022344401587
2023,18,BEER,249988.89000000106,235613,16277,15.358413098236841,2023-05-01,2023-05-07,2023-W18,252779.49000000107,98.8960338514806
2023,18,HARD SELTZER,2790.600000000002,1565,1147,2.4329555361813444,2023-05-01,2023-05-07,2023-W18,252779.49000000107,1.1039661485194034
2023,19,BEER,245888.9699999993,231963,16138,15.236644565621472,2023-05-08,2023-05-14,2023-W19,249054.9499999993,98.72880261966284
2023,19,HARD SELTZER,3165.9799999999987,1804,1280,2.4734218749999988,2023-05-08,2023-05-14,2023-W19,249054.9499999993,1.2711973803371535
2023,20,BEER,251443.06000000003,237098,16255,15.468659489387882,2023-05-15,2023-05-21,2023-W20,254773.47000000003,98.69279560387508
2023,20,HARD SELTZER,3330.4100000000008,1840,1233,2.701062449310625,2023-05-15,2023-05-21,2023-W20,254773.47000000003,1.3072043961249185
2023,21,BEER,267459.1399999998,252550,16838,15.884258225442439,2023-05-22,2023-05-28,2023-W21,271117.3399999998,98.65069493526309
2023,21,HARD SELTZER,3658.199999999999,2065,1341,2.727964205816554,2023-05-22,2023-05-28,2023-W21,271117.3399999998,1.349305064736915
2023,22,BEER,311137.61000000034,294450,17441,17.839436385528373,2023-05-29,2023-06-04,2023-W22,315583.31000000035,98.5912753117394
2023,22,HARD SELTZER,4445.700000000003,2500,1340,3.317686567164181,2023-05-29,2023-06-04,2023-W22,315583.31000000035,1.4087246882606046
2023,23,BEER,335019.38000000146,316916,17659,18.971594088000536,2023-06-05,2023-06-11,2023-W23,339859.44000000146,98.57586418667671
2023,23,HARD SELTZER,4840.060000000003,2719,1373,3.5251711580480722,2023-06-05,2023-06-11,2023-W23,339859.44000000146,1.424135813323291
2023,24,BEER,342206.3600000006,320826,17864,19.15620017913125,2023-06-12,2023-06-18,2023-W24,347469.38000000064,98.48532840505256
2023,24,HARD SELTZER,5263.019999999995,2975,1466,3.5900545702592055,2023-06-12,2023-06-18,2023-W24,347469.38000000064,1.5146715949474412
2023,25,BEER,344873.1699999987,324235,17940,19.223699554069047,2023-06-19,2023-06-25,2023-W25,350178.1199999987,98.4850709690257
2023,25,HARD SELTZER,5304.94999999999,2986,1489,3.5627602417729953,2023-06-19,2023-06-25,2023-W25,350178.1199999987,1.5149290309742964
2023,26,BEER,373754.6000000002,352832,19093,19.575477923846446,2023-06-26,2023-07-02,2023-W26,379524.1000000002,98.4798066842132
2023,26,HARD SELTZER,5769.5,3273,1604,3.5969451371571073,2023-06-26,2023-07-02,2023-W26,379524.1000000002,1.5201933157867964
2023,27,BEER,372249.1400000004,351913,19421,19.167351835641853,2023-07-03,2023-07-09,2023-W27,378080.0200000004,98.4577656338465
2023,27,HARD SELTZER,5830.880000000003,3601,1733,3.3646162723600708,2023-07-03,2023-07-09,2023-W27,378080.0200000004,1.542234366153492
2023,28,BEER,331953.07,313114,17463,19.008937181469392,2023-07-10,2023-07-16,2023-W28,338149.03,98.16768363937048
2023,28,HARD SELTZER,6195.959999999995,3842,1671,3.707935368043085,2023-07-10,2023-07-16,2023-W28,338149.03,1.8323163606295112
2023,29,BEER,328549.43999999814,307591,17232,19.06623955431744,2023-07-17,2023-07-23,2023-W29,334994.45999999816,98.07608161639448
2023,29,HARD SELTZER,6445.0199999999995,3934,1693,3.806863555818074,2023-07-17,2023-07-23,2023-W29,334994.45999999816,1.9239183836055183
2023,30,BEER,321017.70999999787,300522,17023,18.857881102038295,2023-07-24,2023-07-30,2023-W30,327771.07999999786,97.93960772866232
2023,30,HARD SELTZER,6753.3699999999935,4159,1757,3.8436937962435933,2023-07-24,2023-07-30,2023-W30,327771.07999999786,2.0603922713376783
2023,31,BEER,314337.77000000054,295289,16718,18.802354946763998,2023-07-31,2023-08-06,2023-W31,320786.1100000005,97.98983191635075
2023,31,HARD SELTZER,6448.339999999993,4012,1790,3.602424581005583,2023-07-31,2023-08-06,2023-W31,320786.1100000005,2.0101680836492526
2023,32,BEER,295964.7299999994,276930,16377,18.07197472064477,2023-08-07,2023-08-13,2023-W32,303347.5099999994,97.56623022882238
2023,32,HARD SELTZER,7382.780000000003,4551,1908,3.869381551362685,2023-08-07,2023-08-13,2023-W32,303347.5099999994,2.433769771177623
2023,33,BEER,290378.4000000011,272723,15999,18.149784361522663,2023-08-14,2023-08-20,2023-W33,298346.7200000011,97.32917459256801
2023,33,HARD SELTZER,7968.320000000009,4887,2022,3.9408110781404595,2023-08-14,2023-08-20,2023-W33,298346.7200000011,2.6708254074319906
2023,34,BEER,278064.1199999997,261774,15879,17.511437747968998,2023-08-21,2023-08-27,2023-W34,286034.5099999997,97.2134865824407
2023,34,HARD SELTZER,7970.389999999993,4874,2017,3.951606346058499,2023-08-21,2023-08-27,2023-W34,286034.5099999997,2.786513417559301
2023,35,BEER,260664.54999999877,248734,16439,15.856472413163743,2023-08-28,2023-09-03,2023-W35,268636.08999999875,97.03258784030098
2023,35,HARD SELTZER,7971.539999999989,4993,2234,3.568281110116378,2023-08-28,2023-09-03,2023-W35,268636.08999999875,2.9674121596990286
2023,36,BEER,220843.52999999988,212895,15104,14.621526085805076,2023-09-04,2023-09-10,2023-W36,227359.02999999988,97.13426821006405
2023,36,HARD SELTZER,6515.500000000004,4136,2111,3.0864519185220294,2023-09-04,2023-09-10,2023-W36,227359.02999999988,2.865731789935947
2023,37,BEER,211726.9399999999,204920,14996,14.11889437183248,2023-09-11,2023-09-17,2023-W37,218165.52999999988,97.04875926091533
2023,37,HARD SELTZER,6438.589999999999,4080,2149,2.996086551884597,2023-09-11,2023-09-17,2023-W37,218165.52999999988,2.951240739084677
2023,38,BEER,208072.85000000056,200663,14933,13.933760798232141,2023-09-18,2023-09-24,2023-W38,214813.41000000056,96.86213258287741
2023,38,HARD SELTZER,6740.560000000007,4200,2206,3.0555575702629225,2023-09-18,2023-09-24,2023-W38,214813.41000000056,3.1378674171226035
2023,39,BEER,199153.41000000155,191984,14628,13.614534454470984,2023-09-25,2023-10-01,2023-W39,206152.23000000152,96.6050233849035
2023,39,HARD SELTZER,6998.819999999988,4384,2288,3.05892482517482,2023-09-25,2023-10-01,2023-W39,206152.23000000152,3.3949766150964926
2023,40,BEER,165827.57999999993,159767,13663,12.13698162921759,2023-10-02,2023-10-08,2023-W40,171689.03999999992,96.58600222821445
2023,40,HARD SELTZER,5861.460000000001,3693,2204,2.6594646098003634,2023-10-02,2023-10-08,2023-W40,171689.03999999992,3.413997771785551
2023,41,BEER,158606.24000000005,153094,13570,11.68800589535741,2023-10-09,2023-10-15,2023-W41,164906.29000000007,96.17961813342595
2023,41,HARD SELTZER,6300.050000000006,3943,2325,2.7096989247311853,2023-10-09,2023-10-15,2023-W41,164906.29000000007,3.820381866574042
2023,42,BEER,153410.82999999923,147918,13489,11.373032100229759,2023-10-16,2023-10-22,2023-W42,159559.70999999924,96.14634546528066
2023,42,HARD SELTZER,6148.88000000001,3859,2330,2.639004291845498,2023-10-16,2023-10-22,2023-W42,159559.70999999924,3.8536545347193476
2023,43,BEER,149353.35000000015,144103,13375,11.166605607476647,2023-10-23,2023-10-29,2023-W43,155639.77000000016,95.96091667316135
