Retailer_ID,Chain_Name,Store_Type,Region,State,City,Warehouse_ID,Store_Size,Urban_Rural,Location_Type,Market_Tier,Alcohol_License
WH-1001,Distribution,Warehouse,Northeast,VT,Burlington,WH-1001,Large,Industrial,Warehouse,Tier 3,False
WH-1002,Distribution,Warehouse,Northeast,MA,Boston,WH-1002,Large,Industrial,Warehouse,Tier 3,False
WH-1003,Distribution,Warehouse,Northeast,NY,New York,WH-1003,Large,Industrial,Warehouse,Tier 2,True
WH-1004,Distribution,Warehouse,Northeast,NY,Buffalo,WH-1004,Large,Industrial,Warehouse,Tier 3,True
WH-1005,Distribution,Warehouse,Northeast,PA,Pittsburgh,WH-1005,Large,Industrial,Warehouse,Tier 3,True
WH-1006,Distribution,Warehouse,Northeast,NY,Albany,WH-1006,Large,Industrial,Warehouse,Tier 3,True
WH-1007,Distribution,Warehouse,Northeast,CT,Hartford,WH-1007,Large,Industrial,Warehouse,Tier 2,True
WH-1008,Distribution,Warehouse,Northeast,NH,Manchester,WH-1008,Large,Industrial,Warehouse,Tier 3,True
WH-1009,Distribution,Warehouse,Southeast,AL,Birmingham,WH-1009,Large,Industrial,Warehouse,Tier 1,True
WH-1010,Distribution,Warehouse,Southeast,SC,Charleston,WH-1010,Large,Industrial,Warehouse,Tier 3,True
WH-1011,Distribution,Warehouse,Southeast,LA,New Orleans,WH-1011,Large,Industrial,Warehouse,Tier 2,True
WH-1012,Distribution,Warehouse,Southeast,FL,Miami,WH-1012,Large,Industrial,Warehouse,Tier 3,True
WH-1013,Distribution,Warehouse,Southeast,KY,Louisville,WH-1013,Large,Industrial,Warehouse,Tier 2,True
WH-1014,Distribution,Warehouse,Southeast,FL,Tampa,WH-1014,Large,Industrial,Warehouse,Tier 2,True
WH-1015,Distribution,Warehouse,Southeast,GA,Atlanta,WH-1015,Large,Industrial,Warehouse,Tier 3,True
WH-1016,Distribution,Warehouse,Southeast,NC,Raleigh,WH-1016,Large,Industrial,Warehouse,Tier 2,True
WH-1017,Distribution,Warehouse,Southeast,FL,Orlando,WH-1017,Large,Industrial,Warehouse,Tier 3,False
WH-1018,Distribution,Warehouse,Southeast,TN,Memphis,WH-1018,Large,Industrial,Warehouse,Tier 3,False
WH-1019,Distribution,Warehouse,Southeast,VA,Virginia Beach,WH-1019,Large,Industrial,Warehouse,Tier 3,False
WH-1020,Distribution,Warehouse,Southeast,VA,Richmond,WH-1020,Large,Industrial,Warehouse,Tier 1,False
WH-1021,Distribution,Warehouse,Midwest,OH,Cleveland,WH-1021,Large,Industrial,Warehouse,Tier 3,True
WH-1022,Distribution,Warehouse,Midwest,WI,Milwaukee,WH-1022,Large,Industrial,Warehouse,Tier 3,True
WH-1023,Distribution,Warehouse,Midwest,IA,Des Moines,WH-1023,Large,Industrial,Warehouse,Tier 3,True
WH-1024,Distribution,Warehouse,Midwest,NE,Omaha,WH-1024,Large,Industrial,Warehouse,Tier 1,True
WH-1025,Distribution,Warehouse,Midwest,KS,Wichita,WH-1025,Large,Industrial,Warehouse,Tier 2,True
WH-1026,Distribution,Warehouse,Midwest,MO,St. Louis,WH-1026,Large,Industrial,Warehouse,Tier 3,True
WH-1027,Distribution,Warehouse,Midwest,MI,Grand Rapids,WH-1027,Large,Industrial,Warehouse,Tier 2,True
WH-1028,Distribution,Warehouse,Midwest,IN,Indianapolis,WH-1028,Large,Industrial,Warehouse,Tier 2,True
WH-1029,Distribution,Warehouse,Midwest,MO,Kansas City,WH-1029,Large,Industrial,Warehouse,Tier 2,False
WH-1030,Distribution,Warehouse,Midwest,OH,Columbus,WH-1030,Large,Industrial,Warehouse,Tier 3,True
WH-1031,Distribution,Warehouse,West,ID,Boise,WH-1031,Large,Industrial,Warehouse,Tier 3,True
WH-1032,Distribution,Warehouse,West,AK,Anchorage,WH-1032,Large,Industrial,Warehouse,Tier 3,True
WH-1033,Distribution,Warehouse,West,CA,Los Angeles,WH-1033,Large,Industrial,Warehouse,Tier 2,True
WH-1034,Distribution,Warehouse,West,WA,Seattle,WH-1034,Large,Industrial,Warehouse,Tier 2,True
WH-1035,Distribution,Warehouse,West,OR,Portland,WH-1035,Large,Industrial,Warehouse,Tier 3,False
WH-1036,Distribution,Warehouse,West,NV,Las Vegas,WH-1036,Large,Industrial,Warehouse,Tier 3,True
WH-1037,Distribution,Warehouse,West,AZ,Phoenix,WH-1037,Large,Industrial,Warehouse,Tier 3,True
WH-1038,Distribution,Warehouse,West,WA,Spokane,WH-1038,Large,Industrial,Warehouse,Tier 3,True
WH-1039,Distribution,Warehouse,West,CA,San Francisco,WH-1039,Large,Industrial,Warehouse,Tier 2,True
WH-1040,Distribution,Warehouse,West,CA,San Diego,WH-1040,Large,Industrial,Warehouse,Tier 3,False
WH-1041,Distribution,Warehouse,West,HI,Honolulu,WH-1041,Large,Industrial,Warehouse,Tier 2,True
WH-1042,Distribution,Warehouse,West,UT,Salt Lake City,WH-1042,Large,Industrial,Warehouse,Tier 2,False
WH-1043,Distribution,Warehouse,Southwest,OK,Oklahoma City,WH-1043,Large,Industrial,Warehouse,Tier 3,False
WH-1044,Distribution,Warehouse,Southwest,TX,Dallas,WH-1044,Large,Industrial,Warehouse,Tier 1,False
WH-1045,Distribution,Warehouse,Southwest,TX,El Paso,WH-1045,Large,Industrial,Warehouse,Tier 1,True
WH-1046,Distribution,Warehouse,Southwest,TX,Plano,WH-1046,Large,Industrial,Warehouse,Tier 2,True
WH-1047,Distribution,Warehouse,Southwest,TX,Fort Worth,WH-1047,Large,Industrial,Warehouse,Tier 2,True
WH-1048,Distribution,Warehouse,Southwest,TX,Garland,WH-1048,Large,Industrial,Warehouse,Tier 3,True
RTL-02001,BevMo!,Liquor,Northeast,ME,Portland,WH-1004,Medium,Urban,Retail,Tier 1,True
RTL-02002,Casey's,Convenience,Northeast,ME,Portland,WH-1001,Medium,Rural,Retail,Tier 2,False
RTL-02003,King Soopers,Grocery,Northeast,ME,Portland,WH-1005,Medium,Urban,Retail,Tier 1,True
RTL-02004,Costco,Big Box,Northeast,ME,Portland,WH-1007,Medium,Urban,Retail,Tier 1,False
RTL-02005,State Liquor Store,Liquor,Northeast,ME,Portland,WH-1001,Medium,Rural,Retail,Tier 1,True
RTL-02006,Speedway,Convenience,Northeast,ME,Portland,WH-1006,Small,Suburban,Retail,Tier 3,True
RTL-02007,Circle K,Convenience,Northeast,ME,Portland,WH-1005,Small,Urban,Retail,Tier 2,True
RTL-02008,Publix,Grocery,Northeast,ME,Portland,WH-1007,Large,Suburban,Retail,Tier 3,True
RTL-02009,Safeway,Grocery,Northeast,ME,Portland,WH-1002,Medium,Urban,Retail,Tier 3,True
RTL-02010,Stop & Shop,Grocery,Northeast,NH,Manchester,WH-1005,Small,Suburban,Retail,Tier 3,True
RTL-02011,Party City Liquor,Liquor,Northeast,NH,Manchester,WH-1002,Medium,Urban,Retail,Tier 1,True
RTL-02012,Harris Teeter,Grocery,Northeast,NH,Manchester,WH-1004,Medium,Suburban,Retail,Tier 2,True
RTL-02013,Sam's Club,Big Box,Northeast,NH,Manchester,WH-1007,Large,Suburban,Retail,Tier 3,False
RTL-02014,Wawa,Convenience,Northeast,NH,Manchester,WH-1002,Small,Urban,Retail,Tier 2,False
RTL-02015,Circle K,Convenience,Northeast,NH,Manchester,WH-1003,Medium,Rural,Retail,Tier 3,True
RTL-02016,7-Eleven,Convenience,Northeast,NH,Manchester,WH-1005,Small,Urban,Retail,Tier 3,True
RTL-02017,H-E-B,Grocery,Northeast,NH,Manchester,WH-1006,Small,Urban,Retail,Tier 3,True
RTL-02018,Stop & Shop,Grocery,Northeast,NH,Manchester,WH-1001,Small,Suburban,Retail,Tier 3,True
RTL-02019,Sam's Club,Big Box,Northeast,NH,Manchester,WH-1008,Small,Urban,Retail,Tier 2,True
RTL-02020,Chevron,Gas Station,Northeast,NH,Manchester,WH-1007,Large,Urban,Retail,Tier 2,True
RTL-02021,Publix,Grocery,Northeast,NH,Manchester,WH-1006,Large,Suburban,Retail,Tier 3,True
RTL-02022,Wawa,Convenience,Northeast,NH,Manchester,WH-1005,Large,Urban,Retail,Tier 2,True
RTL-02023,Publix,Grocery,Northeast,NH,Manchester,WH-1004,Medium,Urban,Retail,Tier 1,False
RTL-02024,King Soopers,Grocery,Northeast,NH,Manchester,WH-1006,Small,Suburban,Retail,Tier 3,True
RTL-02025,H-E-B,Grocery,Northeast,NH,Manchester,WH-1005,Medium,Urban,Retail,Tier 2,True
RTL-02026,King Soopers,Grocery,Northeast,NH,Manchester,WH-1005,Small,Rural,Retail,Tier 3,True
