SKU,Brand,Product_Name,Category,ABV,Package_Size,Pack_Size,Price_Per_Unit,Launch_Date
BEER-1000,Budweiser,Budweiser Original,Beer,4.80,22oz Bottle,12,0.97,2023-06-22
BEER-1001,Budweiser,Budweiser Light,Beer,3.80,12oz Can,6,1.24,2023-05-21
BEER-1002,Budweiser,Budweiser Select,Beer,4.30,16oz Can,12,0.92,2023-08-30
BEER-1003,Budweiser,Budweiser Zero,Beer,0.00,16oz Can,1,0.86,2023-08-08
BEER-1004,Coors,Coors Original,Beer,5.80,16oz Can,6,1.16,2023-05-06
BEER-1005,Coors,Coors Light,Beer,3.40,12oz Can,12,1.17,2023-02-27
BEER-1006,Coors,Coors Banquet,Beer,5.00,12oz Bottle,6,0.99,2023-05-28
BEER-1007,Coors,Coors Pure,Beer,5.20,12oz Can,6,1.04,2023-11-13
BEER-1008,Miller,Miller High Life,Beer,4.80,12oz Bottle,12,1.11,2023-12-27
BEER-1009,Miller,Miller Lite,Beer,3.40,12oz Bottle,12,0.87,2023-01-01
BEER-1010,Miller,Miller Genuine Draft,Beer,4.30,12oz Bottle,6,1.23,2023-12-14
BEER-1011,Miller,Miller 64,Beer,3.30,22oz Bottle,24,1.20,2023-07-09
BEER-1012,Corona,Corona Extra,Beer,5.50,12oz Can,1,0.95,2023-07-10
BEER-1013,Corona,Corona Light,Beer,3.90,12oz Bottle,6,0.86,2023-11-08
BEER-1014,Corona,Corona Premier,Beer,5.00,12oz Can,24,1.22,2023-04-27
BEER-1015,Corona,Corona Familiar,Beer,4.60,12oz Bottle,12,1.05,2023-05-14
BEER-1016,Heineken,Heineken Original,Beer,5.00,12oz Bottle,6,1.07,2023-02-27
BEER-1017,Heineken,Heineken Light,Beer,4.20,16oz Can,24,1.12,2023-02-13
BEER-1018,Heineken,Heineken 0.0,Beer,0.00,16oz Can,12,1.10,2023-06-22
BEER-1019,Heineken,Heineken Silver,Beer,5.70,12oz Can,6,1.23,2023-06-09
BEER-1020,Stella Artois,Stella Artois Original,Beer,4.30,12oz Can,12,1.23,2023-06-22
BEER-1021,Stella Artois,Stella Artois Solstice Lager,Beer,4.60,16oz Can,12,1.20,2023-11-13
BEER-1022,Stella Artois,Stella Artois Cidre,Beer,4.60,12oz Bottle,6,1.10,2023-10-30
BEER-1023,Stella Artois,Stella Artois Unfiltered,Beer,5.50,12oz Can,24,1.17,2023-05-29
BEER-1024,Blue Moon,Blue Moon Belgian White,Beer,5.40,12oz Can,1,1.12,2023-03-21
BEER-1025,Blue Moon,Blue Moon Light Sky,Beer,4.00,16oz Can,12,1.08,2023-08-01
BEER-1026,Blue Moon,Blue Moon Mango Wheat,Beer,5.40,12oz Can,12,0.90,2023-07-22
BEER-1027,Blue Moon,Blue Moon Seasonal,Beer,4.40,16oz Can,12,1.17,2023-09-09
BEER-1028,Sam Adams,Sam Adams Boston Lager,Beer,4.70,12oz Can,12,1.18,2023-08-17
BEER-1029,Sam Adams,Sam Adams Light,Beer,3.50,16oz Can,12,1.10,2023-06-13
BEER-1030,Sam Adams,Sam Adams Seasonal,Beer,5.60,12oz Bottle,6,1.18,2023-08-15
BEER-1031,Sam Adams,Sam Adams IPA,Beer,6.90,16oz Can,12,1.11,2023-05-27
BEER-1032,Guinness,Guinness Draught,Beer,5.40,12oz Bottle,12,0.93,2023-01-20
BEER-1033,Guinness,Guinness Extra Stout,Beer,6.40,12oz Can,6,0.96,2023-02-16
BEER-1034,Guinness,Guinness Blonde,Beer,4.30,12oz Bottle,12,0.94,2023-08-21
BEER-1035,Guinness,Guinness 0.0,Beer,0.00,12oz Bottle,24,1.00,2023-11-01
BEER-1036,Modelo,Modelo Especial,Beer,4.60,12oz Bottle,12,0.87,2023-01-14
BEER-1037,Modelo,Modelo Negra,Beer,4.60,12oz Can,6,1.10,2023-05-23
BEER-1038,Modelo,Modelo Chelada,Beer,4.50,22oz Bottle,24,0.98,2023-01-01
BEER-1039,Modelo,Modelo Light,Beer,3.80,16oz Can,24,1.11,2023-02-23
BEER-1040,Dos Equis,Dos Equis Lager,Beer,4.50,16oz Can,12,1.00,2023-09-16
BEER-1041,Dos Equis,Dos Equis Amber,Beer,5.50,16oz Can,12,1.12,2023-05-24
BEER-1042,Dos Equis,Dos Equis Lime & Salt,Beer,4.40,12oz Can,12,0.99,2023-01-12
BEER-1043,Dos Equis,Dos Equis Special Lager,Beer,5.50,16oz Can,1,0.95,2023-11-26
BEER-1044,Yuengling,Yuengling Traditional Lager,Beer,5.00,12oz Bottle,6,1.05,2023-08-12
BEER-1045,Yuengling,Yuengling Light,Beer,3.30,12oz Can,24,1.13,2023-09-29
BEER-1046,Yuengling,Yuengling Black & Tan,Beer,4.70,12oz Bottle,12,0.99,2023-12-24
BEER-1047,Yuengling,Yuengling Flight,Beer,4.80,22oz Bottle,24,1.22,2023-06-05
BEER-1048,New Belgium,New Belgium Fat Tire,Beer,4.60,12oz Bottle,12,0.87,2023-01-08
BEER-1049,New Belgium,New Belgium Voodoo Ranger IPA,Beer,6.10,12oz Can,12,1.02,2023-05-02
BEER-1050,New Belgium,New Belgium Citradelic,Beer,5.00,12oz Can,6,1.24,2023-12-14
BEER-1051,New Belgium,New Belgium 1554,Beer,5.70,12oz Can,6,1.07,2023-06-13
BEER-1052,Sierra Nevada,Sierra Nevada Pale Ale,Beer,5.00,22oz Bottle,6,1.02,2023-03-31
BEER-1053,Sierra Nevada,Sierra Nevada Torpedo IPA,Beer,6.80,16oz Can,6,1.08,2023-05-16
BEER-1054,Sierra Nevada,Sierra Nevada Hazy Little Thing,Beer,5.40,12oz Can,12,1.08,2023-07-05
BEER-1055,Sierra Nevada,Sierra Nevada Celebration,Beer,5.20,12oz Bottle,1,1.14,2023-11-12
BEER-1056,Lagunitas,Lagunitas IPA,Beer,7.20,12oz Can,6,0.90,2023-06-27
BEER-1057,Lagunitas,Lagunitas Little Sumpin',Beer,4.30,12oz Bottle,12,0.95,2023-01-28
BEER-1058,Lagunitas,Lagunitas Censored,Beer,4.20,12oz Bottle,6,1.08,2023-08-08
BEER-1059,Lagunitas,Lagunitas DayTime IPA,Beer,6.80,12oz Can,12,1.20,2023-12-23
BEER-1060,Dogfish Head,60 Minute IPA,Beer,6.00,16oz Can,12,1.07,2023-02-10
BEER-1061,Stone,IPA,Beer,6.90,12oz Can,24,0.95,2023-08-16
BEER-1062,Founders,All Day IPA,Beer,4.70,12oz Can,6,1.12,2023-07-11
BEER-1063,Bell's,Two Hearted IPA,Beer,7.00,12oz Bottle,24,1.15,2023-05-25
BEER-1064,Deschutes,Black Butte Porter,Beer,5.20,16oz Can,12,0.95,2023-07-20
BEER-1065,Anchor,Steam Beer,Beer,4.90,12oz Bottle,24,1.00,2023-07-31
BEER-1066,Brooklyn,Lager,Beer,5.20,16oz Can,12,1.06,2023-08-08
BEER-1067,Goose Island,312 Urban Wheat,Beer,4.20,12oz Can,6,1.05,2023-08-28
BEER-1068,Shock Top,Belgian White,Beer,5.20,12oz Bottle,6,1.01,2023-02-15
BEER-1069,Michelob Ultra,Pure Gold,Beer,3.80,12oz Bottle,6,0.97,2023-02-04
BEER-1070,Pabst,Blue Ribbon,Beer,4.70,12oz Can,24,0.89,2023-09-10
BEER-1071,Tecate,Original,Beer,4.50,16oz Can,6,0.87,2023-03-23
