Year_Month,Month_Name,Total_Monthly_Revenue,Total_Monthly_Units,Total_Monthly_Transactions,Avg_MoM_Growth,Max_MoM_Growth,Min_MoM_Growth
2023-01,January,574927.6400000015,559858,70946,0.0,0.0,0.0
2023-02,February,574844.9199999999,558475,63029,5.423891088270952,10.946854971357455,-0.09907279481555142
2023-03,March,718015.4399999997,696182,70657,35.69840821784205,46.67768175925216,24.719134676431942
2023-04,April,829825.000000002,801274,69599,17.08237641537303,18.623517340218235,15.541235490527825
2023-05,May,1119317.2899999938,1050599,78382,50.66138517506016,66.76711205027266,34.55565829984767
2023-06,June,1488832.7699999937,1395257,83038,44.1604928993528,55.59841097462134,32.72257482408427
2023-07,July,1560615.9500000156,1458377,86950,16.266417538772973,28.061225183034683,4.471609894511266
2023-08,August,1308564.6700000023,1218365,80757,0.2521261884107897,17.271721881262632,-16.767469504441053
2023-09,September,970682.589999999,926992,74068,-18.72474617345651,-11.249855994170655,-26.19963635274236
2023-10,October,719128.490000005,684236,70113,-17.047985758326387,-7.608439685729194,-26.487531830923583
2023-11,November,867520.4100000053,808909,68029,29.390280522296088,38.861800817901916,19.91876022669026
2023-12,December,923018.1700000004,856244,72281,17.71123405290061,30.10385837628983,5.318609729511393
