Store_Region,Store_State,Product_Category,Regional_Revenue,Regional_Units,Regional_Transactions,Regional_Brands,Regional_Stores,Regional_Cities,Avg_Regional_Transaction,Avg_Regional_TDP,Regional_Total_Revenue,Category_Penetration,Revenue_Per_Store,Units_Per_Store
MIDWEST,MN,HARD SELTZER,1782.4799999999998,1204,803,10,10,1,2.2197758405977583,30.990186799501867,3321097.13,0.0536714203236808,178.248,120.4
MIDWEST,ND,BEER,101305.75000000003,112641,7114,29,11,5,14.240335957267364,85.44309952206918,3321097.13,3.0503699842106102,9209.61363636364,10240.09090909091
MIDWEST,IL,BEER,344450.38999999996,361416,24574,29,38,6,14.016862944575566,72.8914755432571,3321097.13,10.371584344478354,9064.48394736842,9510.947368421053
MIDWEST,MO,HARD SELTZER,2884.74,2044,1356,10,24,2,2.1273893805309734,34.83615781710913,3321097.13,0.08686105485869966,120.19749999999999,85.16666666666667
MIDWEST,SD,BEER,253070.22,252772,15341,29,19,5,16.496331399517633,61.14553027833907,3321097.13,7.620078850268374,13319.485263157894,13303.78947368421
MIDWEST,IA,BEER,189335.52999999997,203231,12243,29,18,1,15.464798660459035,81.21460181328105,3321097.13,5.700993454533502,10518.640555555554,11290.611111111111
MIDWEST,IN,HARD SELTZER,3252.920000000001,2214,1448,10,23,1,2.246491712707183,32.79707872928178,3321097.13,0.09794715037437045,141.43130434782614,96.26086956521739
MIDWEST,OH,HARD SELTZER,6464.580000000002,4498,3118,10,54,8,2.073309813983323,35.701581141757536,3321097.13,0.19465194021591298,119.71444444444448,83.29629629629629
MIDWEST,ND,HARD SELTZER,1168.1399999999999,864,598,10,11,5,1.953411371237458,41.84220735785953,3321097.13,0.035173316355249146,106.19454545454545,78.54545454545455
MIDWEST,NE,BEER,232345.96999999986,230210,13932,29,18,1,16.67714398507033,58.91572710307207,3321097.13,6.99606066625338,12908.109444444437,12789.444444444445
MIDWEST,MI,HARD SELTZER,6405.259999999998,4472,3069,10,51,6,2.0870837406321274,34.9052036493972,3321097.13,0.1928657834828215,125.5933333333333,87.68627450980392
MIDWEST,KS,HARD SELTZER,1494.1799999999998,1095,686,10,13,1,2.1781049562682213,34.93069970845482,3321097.13,0.04499055407030507,114.93692307692307,84.23076923076923
MIDWEST,MO,BEER,246436.33000000005,265129,16857,29,24,2,14.619228213798424,71.6595491487216,3321097.13,7.4203288959513225,10268.180416666668,11047.041666666666
MIDWEST,IN,BEER,290342.41,299241,17577,29,23,1,16.51831427433578,68.23041531546907,3321097.13,8.742364304171977,12623.58304347826,13010.478260869566
MIDWEST,IL,HARD SELTZER,4054.7699999999986,2820,2028,10,38,6,1.9993934911242597,35.03679980276133,3321097.13,0.12209128011862751,106.70447368421048,74.21052631578948
MIDWEST,WI,HARD SELTZER,3392.5699999999997,2292,1554,10,25,2,2.1831209781209777,30.51745173745174,3321097.13,0.10215208610896605,135.7028,91.68
MIDWEST,MN,BEER,175038.06,177563,9511,29,10,1,18.403749342866156,63.54761854694564,3321097.13,5.270489032640849,17503.806,17756.3
MIDWEST,KS,BEER,124131.96999999996,133802,8253,29,13,1,15.040830001211676,72.17243063128558,3321097.13,3.7376796022825136,9548.613076923073,10292.461538461539
MIDWEST,IA,HARD SELTZER,2063.71,1489,1007,10,18,1,2.049364448857994,39.56641509433962,3321097.13,0.06213940511881385,114.65055555555556,82.72222222222223
MIDWEST,NE,HARD SELTZER,2512.69,1678,1103,10,18,1,2.278050770625567,27.90997280145059,3321097.13,0.07565843158582959,139.5938888888889,93.22222222222223
MIDWEST,WI,BEER,293124.66,296892,18830,29,25,2,15.566896441848113,63.17153319171533,3321097.13,8.826139330649447,11724.9864,11875.68
MIDWEST,SD,HARD SELTZER,2904.87,1910,1305,10,19,5,2.2259540229885055,29.719908045977007,3321097.13,0.08746717985932558,152.8878947368421,100.52631578947368
MIDWEST,MI,BEER,516999.5600000004,542683,35007,29,51,6,14.768462307538504,72.9499117319393,3321097.13,15.567131576184897,10137.246274509811,10640.843137254902
MIDWEST,OH,BEER,516135.3699999997,543873,36036,29,54,8,14.322770840270833,74.68239066489068,3321097.13,15.541110355902168,9558.062407407402,10071.722222222223
NORTHEAST,PA,HARD SELTZER,16694.820000000003,9309,4563,10,66,7,3.658737672583827,33.10663817663817,2492561.4399999995,0.6697856964360328,252.95181818181823,141.04545454545453
NORTHEAST,NY,HARD SELTZER,20511.47,11196,5399,10,62,8,3.799123911835525,30.83167067975551,2492561.4399999995,0.8229072981246154,330.8301612903226,180.58064516129033
NORTHEAST,NJ,HARD SELTZER,9683.859999999999,5495,2470,10,26,1,3.9205910931174084,35.63247773279351,2492561.4399999995,0.38851038311817904,372.4561538461538,211.34615384615384
NORTHEAST,MA,BEER,211347.47000000003,170484,14242,29,20,1,14.839732481393066,61.43689439685438,2492561.4399999995,8.479127800356249,10567.373500000002,8524.2
NORTHEAST,CT,HARD SELTZER,2368.17,1247,617,10,9,1,3.838200972447326,26.209643435980553,2492561.4399999995,0.0950094935272689,263.13,138.55555555555554
NORTHEAST,RI,BEER,225935.17,196315,14570,29,19,1,15.506875085792725,69.36537542896363,2492561.4399999995,9.064377165362874,11891.324736842105,10332.368421052632
NORTHEAST,NY,BEER,684774.0099999998,563796,45487,29,62,8,15.054279464462368,64.62494866665202,2492561.4399999995,27.47270334086529,11044.74209677419,9093.483870967742
NORTHEAST,VT,HARD SELTZER,5051.799999999999,2858,1473,10,19,1,3.4295994568906987,30.26986422267481,2492561.4399999995,0.20267504419068605,265.88421052631577,150.42105263157896
NORTHEAST,PA,BEER,534233.1,447895,39828,29,66,7,13.413505573968061,68.07210555388167,2492561.4399999995,21.4330965498688,8094.4409090909085,6786.287878787879
NORTHEAST,NH,BEER,122156.25,100694,10417,29,19,1,11.726624748008064,73.289859844485,2492561.4399999995,4.900832053311393,6429.276315789473,5299.684210526316
NORTHEAST,NJ,BEER,335352.39000000013,284230,21374,29,26,1,15.689734724431558,73.62408346589316,2492561.4399999995,13.454127333366763,12898.16884615385,10931.923076923076
NORTHEAST,ME,BEER,63171.539999999986,50694,4915,29,7,1,12.852805696846385,64.90368667344862,2492561.4399999995,2.534402522089887,9024.505714285713,7242.0
NORTHEAST,ME,HARD SELTZER,1952.0099999999998,1060,552,10,7,1,3.5362499999999994,30.86105072463768,2492561.4399999995,0.07831341561634686,278.8585714285714,151.42857142857142
NORTHEAST,MA,HARD SELTZER,6090.24,3286,1638,10,20,1,3.718095238095238,29.260610500610504,2492561.4399999995,0.24433660499859136,304.512,164.3
NORTHEAST,CT,BEER,69650.34,54989,5266,29,9,1,13.226422331940752,54.90192176224839,2492561.4399999995,2.7943279103282608,7738.926666666666,6109.888888888889
NORTHEAST,RI,HARD SELTZER,6624.1900000000005,3822,1658,10,19,1,3.995289505428227,33.18654402895054,2492561.4399999995,0.2657583437542066,348.64157894736843,201.1578947368421
NORTHEAST,NH,HARD SELTZER,3901.1100000000006,2136,1173,10,19,1,3.3257544757033255,35.19643648763853,2492561.4399999995,0.1565100838597584,205.32157894736847,112.42105263157895
