Store_Region,Year,Month,Year_Month,Product_Category,Regional_Monthly_Revenue,Regional_Monthly_Units,Regional_Monthly_Transactions,Previous_Month_Revenue,Regional_MoM_Growth
MIDWEST,2023,1,2023-01,BEER,163405.28999999881,174258,18121,,0.0
MIDWEST,2023,1,2023-01,HARD SELTZER,840.9699999999999,551,548,,0.0
MIDWEST,2023,2,2023-02,BEER,165101.8700000003,175809,16014,163405.28999999881,1.0382650402575606
MIDWEST,2023,2,2023-02,HARD SELTZER,886.55,572,566,840.9699999999999,5.419931745484387
MIDWEST,2023,3,2023-03,BEER,205202.5299999999,218599,17781,165101.8700000003,24.288434770605296
MIDWEST,2023,3,2023-03,HARD SELTZER,1304.5900000000004,844,810,886.55,47.15357283853144
MIDWEST,2023,4,2023-04,BEER,237189.2299999996,251032,17437,205202.5299999999,15.587868239246225
MIDWEST,2023,4,2023-04,HARD SELTZER,1470.9600000000005,948,894,1304.5900000000004,12.75266558842242
MIDWEST,2023,5,2023-05,BEER,311449.5399999983,321828,19464,237189.2299999996,31.308466240224657
MIDWEST,2023,5,2023-05,HARD SELTZER,2135.0100000000034,1368,1151,1470.9600000000005,45.14398759993492
MIDWEST,2023,6,2023-06,BEER,423240.88000000163,436152,20527,311449.5399999983,35.89388508970151
MIDWEST,2023,6,2023-06,HARD SELTZER,3021.7700000000027,1945,1240,2135.0100000000034,41.534231689781215
MIDWEST,2023,7,2023-07,BEER,439755.28999999934,451596,21330,423240.88000000163,3.90189388132773
MIDWEST,2023,7,2023-07,HARD SELTZER,3785.3800000000024,2635,1569,3021.7700000000027,25.270288605684716
MIDWEST,2023,8,2023-08,BEER,366301.85000000143,377065,19273,439755.28999999934,-16.70325330253515
MIDWEST,2023,8,2023-08,HARD SELTZER,4601.609999999998,3232,1917,3785.3800000000024,21.56269647961354
MIDWEST,2023,9,2023-09,BEER,269835.5599999995,284584,17459,366301.85000000143,-26.335190499311313
MIDWEST,2023,9,2023-09,HARD SELTZER,4110.510000000001,2955,1925,4601.609999999998,-10.672351633449965
MIDWEST,2023,10,2023-10,BEER,202906.9200000002,213223,16302,269835.5599999995,-24.803491430113738
MIDWEST,2023,10,2023-10,HARD SELTZER,4169.3099999999995,2997,2151,4110.510000000001,1.4304794295597956
MIDWEST,2023,11,2023-11,BEER,241228.44000000067,250629,15422,202906.9200000002,18.88625582607062
MIDWEST,2023,11,2023-11,HARD SELTZER,5385.069999999997,3806,2423,4169.3099999999995,29.159741060271305
MIDWEST,2023,12,2023-12,BEER,257098.81999999838,264678,16145,241228.44000000067,6.578983804727859
MIDWEST,2023,12,2023-12,HARD SELTZER,6669.180000000014,4727,2881,5385.069999999997,23.845743880766967
NORTHEAST,2023,1,2023-01,BEER,121324.50000000033,103674,14454,,0.0
NORTHEAST,2023,1,2023-01,HARD SELTZER,1102.4500000000003,564,557,,0.0
NORTHEAST,2023,2,2023-02,BEER,121396.51999999992,103724,12816,121324.50000000033,0.05936146450187874
NORTHEAST,2023,2,2023-02,HARD SELTZER,1208.5700000000004,625,595,1102.4500000000003,9.625833371127952
NORTHEAST,2023,3,2023-03,BEER,151532.27999999994,128775,14138,121396.51999999992,24.824237136286975
NORTHEAST,2023,3,2023-03,HARD SELTZER,1756.5199999999998,902,847,1208.5700000000004,45.33870607412059
NORTHEAST,2023,4,2023-04,BEER,176339.86999999985,149331,13782,151532.27999999994,16.371158673254254
NORTHEAST,2023,4,2023-04,HARD SELTZER,2319.2400000000002,1207,964,1756.5199999999998,32.03607132284292
NORTHEAST,2023,5,2023-05,BEER,236763.96,195060,15332,176339.86999999985,34.265699526715196
NORTHEAST,2023,5,2023-05,HARD SELTZER,3829.0000000000055,1941,1246,2319.2400000000002,65.09718700953783
NORTHEAST,2023,6,2023-06,BEER,312166.52000000025,257842,16223,236763.96,31.847144303550362
NORTHEAST,2023,6,2023-06,HARD SELTZER,6287.269999999997,3251,1448,3829.0000000000055,64.20135805693361
NORTHEAST,2023,7,2023-07,BEER,321578.3900000004,264064,16589,312166.52000000025,3.0150158319348797
NORTHEAST,2023,7,2023-07,HARD SELTZER,8060.799999999993,4440,1807,6287.269999999997,28.208268453557693
NORTHEAST,2023,8,2023-08,BEER,274677.51999999984,225717,15283,321578.3900000004,-14.58458387082556
NORTHEAST,2023,8,2023-08,HARD SELTZER,9013.299999999994,5065,1945,8060.799999999993,11.816445017864254
NORTHEAST,2023,9,2023-09,BEER,199892.76999999984,168582,13536,274677.51999999984,-27.226381685694573
NORTHEAST,2023,9,2023-09,HARD SELTZER,8187.950000000012,4693,2180,9013.299999999994,-9.157023509702137
NORTHEAST,2023,10,2023-10,BEER,146108.43999999974,123128,12549,199892.76999999984,-26.906590968747967
NORTHEAST,2023,10,2023-10,HARD SELTZER,6924.260000000013,3969,2314,8187.950000000012,-15.43353342411711
NORTHEAST,2023,11,2023-11,BEER,174038.7000000001,143835,11818,146108.43999999974,19.116116769161597
NORTHEAST,2023,11,2023-11,HARD SELTZER,10438.960000000003,5940,2562,6924.260000000013,50.75921470308716
NORTHEAST,2023,12,2023-12,BEER,183864.30000000037,151576,12291,174038.7000000001,5.6456408833209295
NORTHEAST,2023,12,2023-12,HARD SELTZER,13749.350000000011,7812,3078,10438.960000000003,31.711875512503234
SOUTHEAST,2023,1,2023-01,BEER,161457.4899999994,166300,19074,,0.0
SOUTHEAST,2023,1,2023-01,HARD SELTZER,1075.2600000000007,664,655,,0.0
SOUTHEAST,2023,2,2023-02,BEER,156656.63000000105,160793,16774,161457.4899999994,-2.973451401974832
SOUTHEAST,2023,2,2023-02,HARD SELTZER,1197.300000000001,739,729,1075.2600000000007,11.349813068467194
SOUTHEAST,2023,3,2023-03,BEER,196389.62000000023,202100,18501,156656.63000000105,25.36310783654602
SOUTHEAST,2023,3,2023-03,HARD SELTZER,1760.73,1105,1065,1197.300000000001,47.05838135805549
SOUTHEAST,2023,4,2023-04,BEER,226897.05000000016,232500,18131,196389.62000000023,15.534135663585428
SOUTHEAST,2023,4,2023-04,HARD SELTZER,2125.9700000000043,1345,1160,1760.73,20.7436688191832
SOUTHEAST,2023,5,2023-05,BEER,313312.1999999982,312599,20291,226897.05000000016,38.08562076941854
SOUTHEAST,2023,5,2023-05,HARD SELTZER,3326.8799999999997,2055,1507,2125.9700000000043,56.48762682446097
SOUTHEAST,2023,6,2023-06,BEER,406303.77999999945,403037,21311,313312.1999999982,29.680165662237783
SOUTHEAST,2023,6,2023-06,HARD SELTZER,4924.7000000000035,3052,1725,3326.8799999999997,48.02758139758584
SOUTHEAST,2023,7,2023-07,BEER,429117.05999999837,426636,21925,406303.77999999945,5.614833315111898
SOUTHEAST,2023,7,2023-07,HARD SELTZER,6436.560000000001,4336,2071,4924.7000000000035,30.699534997055594
SOUTHEAST,2023,8,2023-08,BEER,357260.87999999884,353792,20013,429117.05999999837,-16.74512311395865
SOUTHEAST,2023,8,2023-08,HARD SELTZER,7665.170000000002,5161,2348,6436.560000000001,19.087991100836476
SOUTHEAST,2023,9,2023-09,BEER,262368.04999999993,267438,17977,357260.87999999884,-26.561214874687433
SOUTHEAST,2023,9,2023-09,HARD SELTZER,6955.779999999993,4802,2609,7665.170000000002,-9.254719725720479
SOUTHEAST,2023,10,2023-10,BEER,193830.20999999938,197053,16651,262368.04999999993,-26.12278438628505
SOUTHEAST,2023,10,2023-10,HARD SELTZER,6285.160000000001,4338,2774,6955.779999999993,-9.641190491936106
SOUTHEAST,2023,11,2023-11,BEER,231931.5799999999,230173,15700,193830.20999999938,19.65708544607192
SOUTHEAST,2023,11,2023-11,HARD SELTZER,8632.109999999982,5925,3131,6285.160000000001,37.34113371815485
SOUTHEAST,2023,12,2023-12,BEER,243640.76000000053,242699,16429,231931.5799999999,5.048549231631432
SOUTHEAST,2023,12,2023-12,HARD SELTZER,11443.909999999996,7815,3632,8632.109999999982,32.57372762858698
SOUTHWEST,2023,1,2023-01,BEER,39331.93999999991,39437,4664,,0.0
SOUTHWEST,2023,1,2023-01,HARD SELTZER,262.6400000000001,162,162,,0.0
SOUTHWEST,2023,2,2023-02,BEER,40996.879999999976,41246,4114,39331.93999999991,4.2330482554383835
SOUTHWEST,2023,2,2023-02,HARD SELTZER,270.45000000000005,165,165,262.6400000000001,2.973652147426113
SOUTHWEST,2023,3,2023-03,BEER,48991.29000000001,48927,4611,40996.879999999976,19.50004488146424
SOUTHWEST,2023,3,2023-03,HARD SELTZER,379.49,227,203,270.45000000000005,40.31798853762246
SOUTHWEST,2023,4,2023-04,BEER,55559.679999999964,55339,4519,48991.29000000001,13.407260760024803
SOUTHWEST,2023,4,2023-04,HARD SELTZER,475.70000000000005,288,250,379.49,25.35244670478801
SOUTHWEST,2023,5,2023-05,BEER,73051.97999999998,70797,4982,55559.679999999964,31.483802642491877
SOUTHWEST,2023,5,2023-05,HARD SELTZER,967.5999999999999,578,398,475.70000000000005,103.40550767290304
SOUTHWEST,2023,6,2023-06,BEER,100551.48999999996,98206,5301,73051.97999999998,37.64375722601904
SOUTHWEST,2023,6,2023-06,HARD SELTZER,1421.2899999999997,873,363,967.5999999999999,46.88817693261677
SOUTHWEST,2023,7,2023-07,BEER,106610.15999999977,102631,5540,100551.48999999996,6.025440299293239
SOUTHWEST,2023,7,2023-07,HARD SELTZER,1606.49,1077,484,1421.2899999999997,13.030416030507519
SOUTHWEST,2023,8,2023-08,BEER,83811.65000000005,81014,4922,106610.15999999977,-21.38493179261692
SOUTHWEST,2023,8,2023-08,HARD SELTZER,1954.6199999999992,1313,590,1606.49,21.67022514923835
SOUTHWEST,2023,9,2023-09,BEER,65405.97999999994,64658,4459,83811.65000000005,-21.9607536661074
SOUTHWEST,2023,9,2023-09,HARD SELTZER,1645.39,1094,585,1954.6199999999992,-15.820466382212361
SOUTHWEST,2023,10,2023-10,BEER,47593.44999999998,47152,4167,65405.97999999994,-27.233794218816037
